Time,Stage,Pressure,Altitude
0.20,0,98534.34,232.91
0.40,0,98534.67,232.88
0.60,0,98534.67,232.88
0.80,0,98534.85,232.86
1.00,0,98534.85,232.86
1.20,0,98534.85,232.86
1.40,0,98534.85,232.86
1.60,0,98534.85,232.86
1.80,0,98535.00,232.85
2.00,0,98535.00,232.85
2.20,0,98535.00,232.85
2.40,0,98535.00,232.85
2.60,0,98535.00,232.85
2.80,0,98535.17,232.83
3.00,0,98535.17,232.83
3.20,0,98535.35,232.82
3.40,0,98535.35,232.82
3.60,0,98535.35,232.82
3.80,0,98535.51,232.81
4.00,0,98535.51,232.81
4.19,0,98535.68,232.79
4.39,0,98535.68,232.79
4.58,0,98535.68,232.79
4.77,0,98535.68,232.79
4.96,0,98535.68,232.79
5.16,0,98535.85,232.78
5.35,0,98535.85,232.78
5.55,0,98536.02,232.76
5.75,0,98536.02,232.76
5.95,0,98535.67,232.79
6.14,0,98535.67,232.79
6.33,0,98535.67,232.79
6.53,0,98536.18,232.75
6.73,0,98536.18,232.75
6.93,0,98536.18,232.75
7.12,0,98536.18,232.75
7.32,0,98536.18,232.75
7.52,0,98536.18,232.75
7.72,0,98536.18,232.75
7.91,0,98536.35,232.74
8.10,0,98536.35,232.74
8.30,0,98536.00,232.77
8.50,0,98536.00,232.77
8.70,0,98536.35,232.74
8.89,0,98536.35,232.74
9.09,0,98536.35,232.74
9.29,0,98536.35,232.74
9.49,0,98536.35,232.74
9.68,0,98536.35,232.74
9.88,0,98536.35,232.74
10.08,0,98536.02,232.76
10.28,0,98536.02,232.76
10.48,0,98536.02,232.76
10.67,0,98535.83,232.78
10.87,0,98535.83,232.78
11.07,0,98535.67,232.79
11.27,0,98535.67,232.79
11.47,0,98535.67,232.79
11.67,0,98535.67,232.79
11.87,0,98535.67,232.79
12.07,0,98535.67,232.79
12.27,0,98535.67,232.79
12.47,0,98536.02,232.76
12.67,0,98536.02,232.76
12.87,0,98536.02,232.76
13.07,0,98535.83,232.78
13.27,0,98535.83,232.78
13.47,0,98536.00,232.77
13.67,0,98536.00,232.77
13.87,0,98536.00,232.77
14.07,0,98536.00,232.77
14.27,0,98536.00,232.77
14.47,0,98536.35,232.74
14.67,0,98536.35,232.74
14.87,0,98536.35,232.74
15.07,0,98536.35,232.74
15.27,0,98536.52,232.72
15.47,0,98536.52,232.72
15.67,0,98536.52,232.72
15.87,0,98536.33,232.74
16.07,0,98536.33,232.74
16.27,0,98536.17,232.75
16.47,0,98536.17,232.75
16.67,0,98536.52,232.72
16.87,0,98536.52,232.72
17.07,0,98536.52,232.72
17.27,0,98536.35,232.74
17.47,0,98536.35,232.74
17.67,0,98536.18,232.75
17.87,0,98536.18,232.75
18.07,0,98536.02,232.76
18.27,0,98536.02,232.76
18.47,0,98536.02,232.76
18.67,0,98535.67,232.79
18.87,0,98535.67,232.79
